Form type	Form description	Filing date	Reporting date	Filings URL
10-Q	Quarterly report [Sections 13 or 15(d)]	2024-02-01	2023-12-31	https://www.sec.gov/Archives/edgar/data/0001414932/000141493224000004/0001414932-24-000004-index.htm
10-K	Annual report [Section 13 and 15(d), not S-K Item 405]	2023-11-14	2023-09-30	https://www.sec.gov/Archives/edgar/data/0001414932/000141493223000018/0001414932-23-000018-index.htm
10-Q	Quarterly report [Sections 13 or 15(d)]	2023-08-03	2023-06-30	https://www.sec.gov/Archives/edgar/data/0001414932/000141493223000014/0001414932-23-000014-index.htm
10-Q	Quarterly report [Sections 13 or 15(d)]	2023-05-04	2023-03-31	https://www.sec.gov/Archives/edgar/data/0001414932/000141493223000009/0001414932-23-000009-index.htm
10-Q	Quarterly report [Sections 13 or 15(d)]	2023-02-07	2022-12-31	https://www.sec.gov/Archives/edgar/data/0001414932/000141493223000005/0001414932-23-000005-index.htm
10-K	Annual report [Section 13 and 15(d), not S-K Item 405]	2022-11-15	2022-09-30	https://www.sec.gov/Archives/edgar/data/0001414932/000141493222000016/0001414932-22-000016-index.htm
10-Q	Quarterly report [Sections 13 or 15(d)]	2022-08-04	2022-06-30	https://www.sec.gov/Archives/edgar/data/0001414932/000141493222000011/0001414932-22-000011-index.htm
10-Q	Quarterly report [Sections 13 or 15(d)]	2022-05-05	2022-03-31	https://www.sec.gov/Archives/edgar/data/0001414932/000141493222000007/0001414932-22-000007-index.htm
10-Q	Quarterly report [Sections 13 or 15(d)]	2022-02-03	2021-12-31	https://www.sec.gov/Archives/edgar/data/0001414932/000141493222000004/0001414932-22-000004-index.htm
10-K	Annual report [Section 13 and 15(d), not S-K Item 405]	2021-11-16	2021-09-30	https://www.sec.gov/Archives/edgar/data/0001414932/000141493221000020/0001414932-21-000020-index.htm
10-Q	Quarterly report [Sections 13 or 15(d)]	2021-08-05	2021-06-30	https://www.sec.gov/Archives/edgar/data/0001414932/000141493221000015/0001414932-21-000015-index.htm
10-Q	Quarterly report [Sections 13 or 15(d)]	2021-05-06	2021-03-31	https://www.sec.gov/Archives/edgar/data/0001414932/000141493221000008/0001414932-21-000008-index.htm
10-Q	Quarterly report [Sections 13 or 15(d)]	2021-02-04	2020-12-31	https://www.sec.gov/Archives/edgar/data/0001414932/000141493221000004/0001414932-21-000004-index.htm
